split	topic	question1	answer1	question2	answer2
test	红黑树	红黑树如何限制相邻红节点？	红黑树不允许一个红色节点再具有红色子节点，这一约束用于限制路径的不平衡。	红黑树的黑高约束是什么？	从同一节点到其各个后代空叶子的路径必须具有相同的黑色节点计数约定，即黑高一致。
test	工作集	进程的工作集描述什么？	工作集描述进程在一个指定观察窗口内实际访问过的页面集合。	工作集是否永远不变？	工作集随观察窗口和程序执行阶段变化，并不是进程整个生命周期中的固定页面集合。
test	交换分区	交换空间主要用于什么？	交换空间可以保存暂时移出物理内存的页面，为内存管理提供后备存储。	使用交换空间是否和访问内存一样快？	交换空间依赖后备存储，访问延迟通常明显高于物理内存，频繁换入换出可能拖慢系统。
test	内存映射文件	内存映射文件如何提供访问方式？	内存映射把文件内容映射到进程虚拟地址空间，使程序可以通过内存访问方式读取或修改映射区域。	修改映射后一定立即持久化到设备吗？	修改映射不代表数据已经立即持久化到存储设备，持久化时机取决于映射方式和同步机制。
test	僵尸进程	僵尸进程还在执行用户代码吗？	僵尸进程已经结束执行，系统保留其退出状态等信息供父进程收集。	父进程收集退出状态后通常怎样处理僵尸信息？	父进程通过等待类接口收集退出状态后，系统可以回收相应的僵尸进程记录。
test	孤儿进程	孤儿进程为何成为孤儿？	当父进程先于子进程退出时，仍存活的子进程会成为需要重新托管的孤儿进程。	孤儿进程是否等同于僵尸进程？	孤儿描述父子关系的变化，僵尸描述退出后等待回收的状态，两者不是同一概念。
test	优先级反转	优先级反转的一种典型场景是什么？	高优先级任务等待低优先级任务持有的锁，而中优先级任务又阻碍低优先级任务运行时，会出现典型的优先级反转。	优先级继承怎样缓解这种情况？	优先级继承可以临时提升持锁任务的调度优先级，使其更快释放高优先级任务需要的锁。
test	自旋锁	自旋锁等待者怎样等待？	自旋锁等待者通过反复检查锁状态等待获得锁，而不是在每次失败时直接睡眠。	自旋等待适合无限长的临界区吗？	长时间自旋会持续消耗处理器时间，因此不应把自旋锁视为适合任意长等待的通用选择。
test	信号屏蔽	信号屏蔽通常改变什么？	信号屏蔽可以推迟某些信号的递送，并不意味着把所有相关事件从系统中抹去。	所有信号都能被进程屏蔽吗？	系统可能规定某些信号不能被进程屏蔽，不能假设所有信号具有相同的可屏蔽性。
test	写回缓存	写回缓存何时更新后备存储？	写回缓存允许先修改缓存中的数据，并在之后的写回时机更新后备存储。	写回缓存为什么需要脏标记？	脏标记表示缓存内容相对后备存储已经修改，便于识别需要写回的数据。
test	DMA	DMA 为数据传输提供什么能力？	DMA 控制机制允许设备与内存之间传输数据，减少处理器逐字节搬运数据的参与。	使用 DMA 是否意味着不再需要任何处理器参与？	DMA 仍可能需要处理器配置传输、处理完成通知和维护一致性，不能理解为完全不需要处理器参与。
