split	topic	question1	answer1	question2	answer2
train	缓冲与缓存	缓冲主要解决什么问题？	缓冲主要用于协调生产者与消费者之间的速度差异或传输粒度差异。	缓存主要解决什么问题？	缓存保存可能再次使用的数据副本，以减少访问较慢存储层的次数。
dev	哈希冲突	什么是哈希冲突？	不同的键经过哈希函数计算得到相同的存储位置，称为哈希冲突。	链地址法如何处理冲突？	链地址法把映射到同一位置的元素组织在同一链或桶结构中。
dev	选择排序	简单选择排序每轮做什么？	简单选择排序每轮从未排序部分选择最小元素，放到未排序部分的起始位置。	简单选择排序总是稳定的吗？	常规交换实现的简单选择排序不稳定，交换可能改变相等元素的相对次序。
dev	分段	分段如何组织地址空间？	分段按程序的逻辑单位组织地址空间，各段长度可以不同。	分段地址由什么组成？	分段地址由段号和段内偏移组成，段表记录段基址与段长。
dev	饥饿	饥饿和死锁相同吗？	饥饿指进程长期得不到所需资源或调度机会，不要求存在进程之间的循环等待。	老化技术为什么能缓解饥饿？	老化技术随等待时间增加逐渐提高进程优先级，使长期等待者更可能获得调度。
dev	中断	中断处理前为什么保存现场？	中断处理前保存必要的执行状态，是为了处理完成后能够恢复被中断的执行过程。	屏蔽中断能否自动保护多核共享数据？	仅屏蔽当前处理器的中断不能自动阻止其他处理器访问共享数据。
dev	管道	匿名管道常用于什么通信？	匿名管道常用于有亲缘关系进程之间的字节流通信。	管道是否天然保留消息边界？	普通字节流管道不天然保留应用层消息边界，应用需要自行约定消息格式。
test	堆	大根堆满足什么性质？	大根堆是完全二叉树，并且每个非叶节点的键值不小于其孩子的键值。	大根堆是否保证左右子树之间有序？	大根堆只约束父节点与孩子的大小关系，不保证左子树所有键值都小于右子树。
test	AVL树	AVL树怎样限制高度差？	AVL树要求每个节点的左右子树高度差的绝对值不超过一。	AVL树插入后如何恢复平衡？	AVL树在插入导致失衡时，通过单旋转或双旋转恢复平衡约束。
test	拓扑排序	拓扑排序适用于什么图？	拓扑排序适用于有向无环图，使每条有向边的起点都出现在终点之前。	存在有向环时能否得到完整拓扑序？	存在有向环时不能得到满足所有边先后约束的完整拓扑序。
test	Dijkstra	Dijkstra算法对边权有什么要求？	标准Dijkstra算法要求边权非负，存在负权边时不能保证结果正确。	Dijkstra每步选择什么顶点？	Dijkstra每步选择尚未确定最短距离且当前距离估计最小的顶点进行扩展。
test	哈夫曼编码	哈夫曼树如何构造？	哈夫曼树反复合并当前权值最小的两棵树，新树权值为两者之和，直到只剩一棵树。	哈夫曼编码的前缀性质是什么？	哈夫曼编码中任意一个字符的码字都不是另一个字符码字的前缀。
test	TLB	TLB缓存什么信息？	TLB缓存最近使用的虚拟页到物理页框的地址转换信息，用于减少页表访问开销。	TLB未命中是否必然发生缺页？	TLB未命中只表示该转换不在TLB中，页面仍可能已经位于物理内存，因此不必然发生缺页。
test	写时复制	写时复制什么时候复制页面？	写时复制允许暂时共享只读页面，当某个执行实体需要写入时才复制相应页面。	写时复制的收益是什么？	写时复制可以避免立即复制后续并未修改的数据，从而节省内存和复制开销。
test	LRU	LRU选择哪个页面换出？	LRU选择最近最长时间没有被访问的页面换出。	LRU与FIFO的依据有什么区别？	LRU依据最近访问时间，FIFO依据页面进入内存的先后顺序，两者不一定选择同一页面。
test	银行家算法	银行家算法在分配前检查什么？	银行家算法在试分配资源后检查系统是否仍处于安全状态，只有安全时才正式分配。	不安全状态是否等于已经死锁？	不安全状态表示无法保证所有进程都能完成，不等于系统此刻已经发生死锁。
test	硬链接	硬链接与文件实体是什么关系？	同一文件的多个硬链接指向同一文件实体，删除其中一个目录项不一定释放文件数据。	硬链接一般能跨文件系统吗？	普通硬链接通常不能跨文件系统创建，因为目标文件实体属于特定文件系统。
